city,dc_code,fe_number,ofd_date,hexagon_index,hexagon_lat,hexagon_lng,delivery_count,rto_percentage,delivery_details
visakhapatnam,hvk,7036303683,2025-02-15,622562381729660927,17.756685,83.329092,3,21.6,"[{""user_lng"":83.32953,""user_lat"":17.756443},{""user_lng"":83.32935,""user_lat"":17.756481},{""user_lng"":83.32944,""user_lat"":17.756636}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381729693695,17.756677,83.330382,1,9.4,"[{""user_lng"":83.330376,""user_lat"":17.756323}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562382232813567,17.769793,83.308939,9,26.4,"[{""user_lng"":83.30904,""user_lat"":17.769846},{""user_lng"":83.30919,""user_lat"":17.769573},{""user_lng"":83.30905,""user_lat"":17.769272},{""user_lng"":83.30919,""user_lat"":17.769573},{""user_lng"":83.30929,""user_lat"":17.769987},{""user_lng"":83.30905,""user_lat"":17.769272},{""user_lng"":83.308815,""user_lat"":17.769676},{""user_lng"":83.30904,""user_lat"":17.769846},{""user_lng"":83.30905,""user_lat"":17.769272}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381729562623,17.756701,83.326513,4,13.8,"[{""user_lng"":83.32649,""user_lat"":17.757256},{""user_lng"":83.326645,""user_lat"":17.757288},{""user_lng"":83.32655,""user_lat"":17.75728},{""user_lng"":83.32655,""user_lat"":17.75728}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381730775039,17.757787,83.325908,5,20.1,"[{""user_lng"":83.3262,""user_lat"":17.757418},{""user_lng"":83.32616,""user_lat"":17.757483},{""user_lng"":83.32531,""user_lat"":17.758},{""user_lng"":83.32608,""user_lat"":17.757532},{""user_lng"":83.32586,""user_lat"":17.757322}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381722419199,17.750179,83.331432,1,11.2,"[{""user_lng"":83.33185,""user_lat"":17.750147}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381730807807,17.757779,83.327198,1,30.0,"[{""user_lng"":83.3274,""user_lat"":17.757189}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562382225833983,17.766528,83.312043,3,24.9,"[{""user_lng"":83.311745,""user_lat"":17.766808},{""user_lng"":83.311745,""user_lat"":17.766796},{""user_lng"":83.31164,""user_lat"":17.766525}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381730480127,17.757795,83.324619,4,16.7,"[{""user_lng"":83.324684,""user_lat"":17.757313},{""user_lng"":83.32464,""user_lat"":17.758186},{""user_lng"":83.32464,""user_lat"":17.757633},{""user_lng"":83.324684,""user_lat"":17.757313}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381730447359,17.757803,83.323329,1,8.9,"[{""user_lng"":83.32332904986121,""user_lat"":17.757803423236776}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562382225506303,17.766544,83.309464,2,19.8,"[{""user_lng"":83.30927,""user_lat"":17.766834},{""user_lng"":83.30919,""user_lat"":17.766958}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562382225539071,17.766536,83.310753,3,15.3,"[{""user_lng"":83.31083,""user_lat"":17.766815},{""user_lng"":83.311035,""user_lat"":17.766651},{""user_lng"":83.310715,""user_lat"":17.766493}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562381730578431,17.758889,83.322724,1,10.5,"[{""user_lng"":83.322266,""user_lat"":17.75878}]"
visakhapatnam,hvk,7036303683,2025-02-15,622562382225571839,17.765467,83.308779,1,28.1,"[{""user_lng"":83.308876,""user_lat"":17.765676}]"
